Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine,,OpenOU,,CloseOU,
805,901,V,MIA,ECABRERA,0,0,0,0,0,0,1,0,0,1,110,124,1.5,-170,7.5,-115,7.5,-115
805,902,H,CUB,JSTEELE-L,0,0,0,0,0,0,0,2,x,2,-130,-134,-1.5,150,7.5,-105,7.5,-105
805,903,V,WAS,JGRAY,0,0,0,0,0,0,0,1,1,2,185,163,1.5,-135,8.5,-105,9,-115
805,904,H,PHI,KGIBSON,4,0,2,0,0,0,1,0,x,7,-225,-176,-1.5,115,8.5,-115,9,-105
805,905,V,ATL,IANDERSON,4,4,0,0,0,0,0,0,1,9,115,118,1.5,-165,8.5,-110,8.5,-105
805,906,H,NYM,TWALKER,0,1,0,0,4,0,0,0,1,6,-135,-128,-1.5,145,8.5,-110,8.5,-115
805,907,V,CIN,RDUGGER,0,0,0,0,1,0,0,0,0,1,170,205,1.5,-105,9,-115,9,105
805,908,H,MIL,ELAUER-L,2,3,0,0,0,0,0,0,x,5,-200,-230,-1.5,-115,9,-105,9,-125
805,909,V,COL,GMARQUEZ,0,1,1,0,0,3,0,0,0,5,115,116,1.5,-180,8.5,-105,8.5,100
805,910,H,ARI,MBUMGARNE-L,1,0,0,1,0,0,2,2,x,6,-135,-126,-1.5,160,8.5,-115,8.5,-120
805,911,V,SDG,SMANAEA-L,0,0,0,0,0,0,0,0,1,1,135,147,1.5,-145,8.5,-110,8.5,-115
805,912,H,LAD,TGONSOLIN,4,0,4,0,0,0,0,0,x,8,-160,-157,-1.5,125,8.5,-110,8.5,-105
805,913,V,TAM,CKLUBER,0,0,0,0,1,1,0,3,0,5,-200,-190,-1.5,-125,8.5,-110,8,-110
805,914,H,DET,BGARCIA,1,2,0,0,0,0,0,0,0,3,170,175,1.5,105,8.5,-110,8,-110
805,915,V,HOU,FVALDEZ-L,0,1,5,2,0,0,0,1,0,9,-200,-196,-1.5,-125,8.5,-115,8,-115
805,916,H,CLE,HGADDIS,1,0,0,0,0,0,2,0,0,3,170,178,1.5,105,8.5,-105,8,-105
805,917,V,CWS,DCEASE,0,0,1,1,0,0,0,0,0,2,-170,-178,-1.5,-110,8,-115,8,100
805,918,H,TEX,GOTTO,1,0,0,0,0,0,0,0,0,1,145,164,1.5,-110,8,-105,8,-120
805,919,V,BOS,JWINCKOWS,0,1,0,2,1,1,0,2,0,7,-115,-112,-1.5,140,9,-105,9,-120
805,920,H,KAN,ZGREINKE,0,0,0,0,1,0,0,3,0,4,-105,102,1.5,-160,9,-115,9,100
805,921,V,TOR,JBERRIOS,0,0,0,0,1,3,0,0,1,5,-130,-115,-1.5,130,9,100,8.5,-110
805,922,H,MIN,TMAHLE,0,0,1,4,0,0,0,0,0,6,110,105,1.5,-150,9,-120,8.5,-110
805,923,V,LAA,PSANDOVAL-L,1,0,0,0,0,0,0,0,2,4,180,175,1.5,-140,6.5,-115,7,-105
805,924,H,SEA,RRAY-L,0,0,0,0,0,0,0,0,3,3,-220,-190,-1.5,120,6.5,-105,7,-115
805,925,V,PIT,MKELLER,0,0,0,0,0,0,0,0,0,0,145,140,1.5,-155,8.5,-120,8.5,-115
805,926,H,BAL,DKREMER,0,0,0,0,0,1,0,0,x,1,-170,-150,-1.5,135,8.5,100,8.5,-105
805,927,V,NYY,NCORTES-L,1,0,1,0,1,0,0,0,0,3,-145,-150,-1.5,105,8.5,-115,8.5,-105
805,928,H,STL,DHUDSON,0,1,0,0,0,1,0,2,x,4,125,140,1.5,-125,8.5,-105,8.5,-115
806,951,V,ATL,JODORIZZI,0,0,0,0,0,0,2,0,3,5,100,122,1.5,-180,9,100,9,-115
806,952,H,NYM,DPETERSON-L,2,0,1,0,0,2,3,0,x,8,-120,-132,-1.5,160,9,-120,9,-105
806,953,V,MIA,PLOPEZ,0,0,0,0,0,0,0,0,0,0,-110,-107,1.5,-220,7.5,-110,9,-115
806,954,H,CUB,DSMYLY-L,0,0,0,1,2,1,0,0,x,4,-110,-103,-1.5,195,7.5,-110,9,-105
806,955,V,WAS,PCORBIN-L,0,0,0,0,0,4,1,0,0,5,195,235,1.5,110,8.5,-115,9,-105
806,956,H,PHI,RSUAREZ-L,6,3,0,0,0,2,0,0,x,11,-245,-265,-1.5,-130,8.5,-105,9,-115
806,957,V,ATL,MFRIED-L,0,0,0,0,0,0,0,1,1,2,110,117,1.5,-200,6.5,-120,7,-105
806,958,H,NYM,MSCHERZER,0,0,3,0,0,1,0,2,x,6,-130,-127,-1.5,175,6.5,100,7,-115
806,959,V,CIN,NLODOLO-L,0,2,0,2,0,1,1,0,1,7,170,155,1.5,-140,7.5,-105,8,-110
806,960,H,MIL,AASHBY-L,0,0,0,3,0,0,0,0,2,5,-200,-165,-1.5,120,7.5,-115,8,-110
806,961,V,COL,ASENZATEL,0,0,0,0,0,0,1,1,1,3,135,164,1.5,-135,8,-110,8,-105
806,962,H,ARI,MKELLY,1,0,0,0,0,0,1,0,0,2,-160,-178,-1.5,115,8,-110,8,-115
806,963,V,SDG,MCLEVINGE,0,0,0,3,0,0,0,0,0,3,120,138,1.5,-150,9,-110,9,100
806,964,H,LAD,AHEANEY-L,0,1,1,0,3,0,2,1,x,8,-140,-148,-1.5,130,9,-110,9,-120
806,965,V,LAA,JBARRIA,0,1,0,0,0,0,0,0,0,1,160,195,1.5,-125,7.5,-110,7.5,-115
806,966,H,SEA,GKIRBY,0,0,2,0,0,0,0,0,x,2,-190,-215,-1.5,105,7.5,-110,7.5,-105
806,967,V,HOU,LGARCIA,0,0,0,0,0,0,0,0,1,1,-140,-150,-1.5,100,8.5,-105,8.5,-110
806,968,H,CLE,CQUANTRIL,1,3,0,0,0,0,0,0,x,4,120,140,1.5,-120,8.5,-115,8.5,-110
806,969,V,TAM,SMCCLANAH-L,0,1,0,0,0,0,0,0,0,1,-235,-245,-1.5,-140,7,-115,7.5,100
806,970,H,DET,GHILL,0,0,0,0,2,0,5,2,x,9,190,215,1.5,120,7,-105,7.5,-120
806,971,V,CWS,MKOPECH,0,0,0,0,0,0,0,0,0,0,-125,-115,-1.5,140,7.5,-115,8,-120
806,972,H,TEX,DDUNNING,0,0,3,1,0,0,4,0,x,8,105,105,1.5,-160,7.5,-105,8,100
806,973,V,BOS,NEOVALDI,0,1,0,2,0,1,0,0,0,4,-150,-143,-1.5,110,9,-110,9.5,-105
806,974,H,KAN,DLYNCH-L,1,0,2,1,0,0,0,0,1,5,130,133,1.5,-130,9,-110,9.5,-115
806,975,V,TOR,MWHITE,0,0,0,2,0,0,0,1,0,3,-135,-107,-1.5,145,9,-110,9,-105
806,976,H,MIN,DBUNDY,0,0,2,0,1,2,0,2,x,7,115,-103,1.5,-165,9,-110,9,-115
806,977,V,LAA,RDETMERS-L,0,0,2,1,0,2,0,0,2,7,140,126,1.5,-175,7.5,-110,7,-125
806,978,H,SEA,CFLEXEN,0,0,0,0,1,0,0,0,0,1,-165,-136,-1.5,155,7.5,-110,7,105
806,979,V,PIT,JBRUBAKER,0,0,0,2,0,1,0,0,0,3,130,154,1.5,-140,8.5,-115,8.5,105
806,980,H,BAL,AVOTH,1,2,0,0,2,0,1,0,x,6,-150,-164,-1.5,120,8.5,-105,8.5,-125
806,981,V,SFO,CRODON-L,1,1,0,0,0,4,1,0,0,7,-210,-230,-1.5,-140,7.5,105,7.5,100
806,982,H,OAK,AOLLER,0,0,1,0,0,0,0,0,2,3,175,205,1.5,120,7.5,-125,7.5,-120
806,983,V,NYY,DGERMAN,0,0,0,0,0,0,0,0,0,0,-125,105,-1.5,160,7.5,-115,8.5,-120
806,984,H,STL,JMONTGOME-L,1,0,0,0,0,0,0,0,x,1,105,-115,1.5,-180,7.5,-105,8.5,100
807,901,V,WAS,CABBOTT,0,0,0,0,1,0,0,0,0,1,235,260,1.5,130,8.5,-110,8.5,-115
807,902,H,PHI,ANOLA,0,1,1,5,0,0,1,5,x,13,-290,-300,-1.5,-150,8.5,-110,8.5,-105
807,903,V,CIN,GASHCRAFT,0,0,0,0,1,0,0,1,0,4,225,250,1.5,120,7.5,-105,7.5,100
807,904,H,MIL,CBURNES,0,0,1,0,0,0,0,0,1,2,-275,-290,-1.5,-140,7.5,-115,7.5,-120
807,905,V,MIA,JLUZARDO-L,0,0,0,0,3,0,0,0,0,3,105,122,1.5,-165,8,-115,9.5,-110
807,906,H,CUB,ASAMPSON,0,0,0,0,0,0,0,0,0,0,-125,-132,-1.5,145,8,-105,9.5,-110
807,907,V,SDG,YDARVISH,0,0,0,0,0,0,0,0,0,0,110,120,1.5,-175,9,-110,9,100
807,908,H,LAD,TANDERSON-L,0,0,2,0,0,0,2,0,x,4,-130,-130,-1.5,155,9,-110,9,-120
807,909,V,COL,JURENA,0,0,0,0,0,4,0,0,0,4,135,137,1.5,-150,8,-110,9,-105
807,910,H,ARI,ZDAVIES,2,0,0,0,0,1,1,2,x,6,-160,-147,-1.5,130,8,-110,9,-115
807,911,V,ATL,SSTRIDER,0,0,0,0,0,2,0,0,0,2,115,133,1.5,-180,7,-120,7,-110
807,912,H,NYM,JDEGROM,0,0,4,0,1,0,0,0,x,5,-135,-143,-1.5,160,7,100,7,-110
807,913,V,HOU,CJAVIER,0,0,0,0,0,0,0,0,0,0,-150,-124,-1.5,135,8,-105,8,100
807,914,H,CLE,TMCKENZIE,0,0,0,0,1,0,0,0,x,1,130,114,1.5,-155,8,-115,8,-120
807,915,V,TAM,DRASMUSSE,0,0,0,0,0,0,0,0,7,7,-185,-172,-1.5,-120,8,-110,8.5,-110
807,916,H,DET,MMANNING,0,0,0,0,0,0,0,0,0,0,155,161,1.5,100,8,-110,8.5,-110
807,917,V,BOS,KCRAWFORD,0,0,0,0,0,1,2,0,2,5,-130,-149,-1.5,105,9,-115,9.5,100
807,918,H,KAN,BKELLER,0,0,2,0,3,0,2,6,x,13,110,139,1.5,-125,9,-105,9.5,-120
807,919,V,TOR,KGAUSMAN,0,1,1,0,0,0,0,0,0,3,-150,-168,-1.5,-110,8,-110,8,100
807,920,H,MIN,CARCHER,0,0,0,0,0,0,0,1,1,2,130,158,1.5,-110,8,-110,8,-120
807,921,V,CWS,LGIOLITO,0,1,2,3,0,1,1,0,0,8,-145,-133,-1.5,120,8.5,-120,8,-115
807,922,H,TEX,SHOWARD,0,0,1,0,0,0,1,0,0,2,125,123,1.5,-140,8.5,100,8,-105
807,923,V,LAA,TDAVIDSON-L,0,0,0,2,0,1,0,0,0,3,150,139,1.5,-150,7.5,-110,8,-120
807,924,H,SEA,MGONZALES-L,1,0,4,0,1,0,0,0,x,6,-180,-149,-1.5,130,7.5,-110,8,100
807,925,V,PIT,BWILSON,0,0,0,0,3,1,4,0,0,8,140,163,1.5,-125,9,-105,9,-105
807,926,H,BAL,SWATKINS,0,0,1,0,0,0,0,0,0,1,-165,-176,-1.5,105,9,-115,9,-115
807,927,V,NYY,FMONTAS,1,3,0,0,2,2,0,0,1,9,-125,-127,-1.5,130,8,-110,8,-110
807,928,H,STL,AWAINWRIG,1,5,0,0,3,0,0,3,x,12,105,117,1.5,-150,8,-110,8,-110
807,929,V,SFO,LWEBB,0,0,1,0,1,2,0,2,0,6,-245,-182,-1.5,-115,8,-110,8,105
807,930,H,OAK,AMARTINEZ,0,0,0,0,1,0,1,2,0,4,195,167,1.5,-105,8,-110,8,-125
808,951,V,CIN,JDUNN,0,0,0,1,0,0,0,0,0,1,235,290,1.5,160,8.5,-115,9,-120
808,952,H,NYM,CBASSITT,2,0,1,0,0,0,0,2,x,5,-290,-340,-1.5,-180,8.5,-105,9,100
808,953,V,WAS,ANIBALSAN,0,0,0,0,0,1,0,2,0,3,155,173,1.5,-130,7.5,-110,8,-110
