Home Team,Home Team Record,Visitor Team,Visitor Team Record,Final Score,Winner,H/V Win,Game Time,Winning Pitcher,Visiting Pitcher,Winning Pitcher (Team),Losing Pitcher (Team),Game Time,Attendance,Field Condition,Temperature,Wind Direction,Cloud Coverage,Precipitation,HP Umpire,1B Umpire,2B Umpire,3B Umpire,LF Umpire,RF Umpire
Atlanta Braves, 0-1,Cincinnati Reds, 1-0, 6-3,Cincinnati Reds,V,8:08 p.m.,Tyler Mahle,Max Fried,CIN,ATL,3:01,"40,545",Unknown,63° F,15mph from Right to Left, Cloudy,Jerry Layne, Hunter Wendelstedt, Chad Whitson, Adam Hamari,N/A,N/A
""
Inning,1,2,3,4,5,6,7,8,9,R,H,E
Cincinnati Reds,0,1,2,0,0,3,0,0,0,6,10,1
Atlanta Braves,0,0,1,0,0,0,0,2,0,3,4,0
""
Cincinnati Reds's Batting Statistics
,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,PIT,STR,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Justin Wilson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Dauri Moreta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Tony Santillan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Team Totals,35,6,10,6,1,13,38,.286,.316,.371,.687,142,94,0.230, 0.70,0.598,-0.369%, 0.13%, 0.68, 1.4,27,7,-
""
""
Atlanta Braves's Batting Statistics
,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,PIT,STR,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Eddie Rosario,3,1,0,0,1,1,4,.000,.250,.000,.250,15,9,-0.035, 0.56,0.013,-0.047%,-0.02%, 0.54, -0.4,3,0,-
Matt Olson,2,1,0,0,2,1,4,.000,.500,.000,.500,17,8,0.007, 0.57,0.036,-0.029%, 0.00%, 0.54, 0.3,6,0,-
Austin Riley,4,1,3,2,0,0,4,.750,.750,1.500,2.250,17,10,0.147, 0.81,0.159,-0.013%, 0.08%, 0.77, 2.6,1,1,HR
Marcell Ozuna,3,0,0,0,1,0,4,.000,.250,.000,.250,16,8,-0.093, 1.05,0.014,-0.107%,-0.05%, 1.00, -0.7,1,0,-
Ozzie Albies,4,0,1,0,0,1,4,.250,.250,.250,.500,19,13,-0.010, 0.85,0.048,-0.058%,-0.01%, 0.81, -0.3,1,1,-
Adam Duvall,3,0,0,0,1,3,4,.000,.250,.000,.250,21,11,-0.059, 0.82,0.011,-0.070%,-0.03%, 0.79, -0.4,1,0,-
Travis d'Arnaud,4,0,0,0,0,2,4,.000,.000,.000,.000,14,11,-0.093, 0.93,0.000,-0.093%,-0.05%, 0.89, -1.1,12,1,-
Alex Dickerson,2,0,0,0,0,0,2,.000,.000,.000,.000,8,4,-0.052, 0.95,0.000,-0.052%,-0.03%, 0.91, -0.5,-,-,-
Guillermo Heredia,2,0,0,0,0,1,2,.000,.000,.000,.000,12,7,-0.024, 0.47,0.000,-0.024%,-0.01%, 0.45, -0.4,-,-,-
Dansby Swanson,4,0,0,0,0,4,4,.000,.000,.000,.000,19,15,-0.059, 0.58,0.000,-0.059%,-0.03%, 0.55, -0.7,1,3,-
Max Fried,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
Collin McHugh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Spencer Strider,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Tyler Thornburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Team Totals,31,3,4,2,5,13,36,.129,.250,.226,.476,158,96,-0.271, 0.76,0.281,-0.552%,-0.16%, 0.73, -1.6,27,7,-
""
""
Cincinnati Reds's Pitching Statistics
,IP,H,R,ER,BB,SO,HR,ERA,BF,PIT,STR,CTCT,STS,STL,GB,FB,LD,UNK,GSC,IR,IS,WPA,aLI,cWPA,acLI,RE24
Tyler Mahle, 5 ,3,1,0,2,7,0,0.00,20,84,51,24,11,16,5,6,3,0,64,-,-,0.196, 0.97, 0.11%, 0.94, 1.5
Luis Cessa, 1 ,0,0,0,2,0,0,0.00,5,18,8,4,1,3,3,0,0,0,-,0,0,0.024, 0.52, 0.01%, 0.50, 0.5
Justin Wilson, 1 ,0,0,0,0,2,0,0.00,3,15,12,5,5,2,0,1,1,0,-,0,0,0.020, 0.27, 0.01%, 0.26, 0.5
Dauri Moreta, 1 ,1,2,2,1,2,1,18.00,5,26,14,9,3,2,0,2,0,0,-,0,0,-0.013, 0.61,-0.01%, 0.59, -1.5
Tony Santillan, 1 ,0,0,0,0,2,0,0.00,3,15,11,4,4,3,1,0,0,0,-,0,0,0.042, 0.54, 0.02%, 0.52, 0.5
Team Totals, 9 ,4,3,2,5,13,1, 2.00,36,158,96,46,24,26,9,9,4,0,64,0,0,0.269, 0.76, 0.16%, 0.74, 1.6
""
""
Atlanta Braves's Pitching Statistics
,IP,H,R,ER,BB,SO,HR,ERA,BF,PIT,STR,CTCT,STS,STL,GB,FB,LD,UNK,GSC,IR,IS,WPA,aLI,cWPA,acLI,RE24
Max Fried, 5.2,8,5,5,1,5,0,7.94,26,84,56,33,9,14,6,13,6,0,37,-,-,-0.080, 0.94,-0.05%, 0.89, -0.4
Collin McHugh, 0.1,2,1,1,0,1,1,27.00,3,16,11,8,1,2,1,1,0,0,-,2,2,-0.169, 0.49,-0.10%, 0.47, -2.6
Spencer Strider, 2 ,0,0,0,0,5,0,0.00,6,24,16,4,9,3,0,1,0,0,-,0,0,0.011, 0.07, 0.01%, 0.07, 1.0
Tyler Thornburg, 1 ,0,0,0,0,2,0,0.00,3,18,11,6,3,2,0,1,0,0,-,0,0,0.008, 0.11, 0.01%, 0.10, 0.5
Team Totals, 9 ,10,6,6,1,13,1, 6.00,38,142,94,51,22,21,7,16,6,0,37,2,2,-0.230, 0.70,-0.13%, 0.67, -1.4
""
""
